store_id,type,address,city,zipcode
1700,supermarket,Glavina Donja 336,Imotski,21260
0909,supermarket,Dvanaest Redarstvenika 2A,Vukovar,32000
0233,supermarket,Dr. Franje Tuđmana 108,Jastrebarsko,10450
0286,supermarket,Istarska Ulica 64,Vodnjan,52215
0432,supermarket,Kamik 24,Banjole,52100
3281,supermarket,Dr. Franje Tuđmana 82,Biograd Na Moru,23210
1406,supermarket,Kralja Tomislava 94,Kotoriba,40329
1750,supermarket,Industrijska Zona Žedno Drage 8,Supetar,21400
0060,supermarket,Hrvatskih Generala 5,Knin,22300
0767,supermarket,Kneza Branimira 32,Biograd Na Moru,23210
3273,supermarket,Istarska 50,Labin,52220
1620,supermarket,Dalmatinskog Sabora 8,Zadar,23000
0603,supermarket,Ilica 298A,Zagreb,10000
0453,supermarket,Josipa Bana Jelačića 3,Otočac,53220
0893,supermarket,Ivana Pavla Ii 1,Dubrovnik,20000
1737,supermarket,Dubravica 17,Orebić,20250
1710,supermarket,Gornja Čibača 14,Mlini,20207
0067,supermarket,Ivana Meštrovića 21,Drniš,22320
1258,supermarket,Kanalski Put 40,Zagreb,10000
1270,supermarket,Gračanska Cesta 208,Zagreb,10000
1540,supermarket,Kukuljanovo 361,Kukuljanovo,51227
0897,supermarket,Dražica 18B,Mali Lošinj,51550
1401,supermarket,Ivanečko Naselje 1E,Ivanec,42240
1242,supermarket,Koledinečka 6,Zagreb,10040
3228,supermarket,Jozefinska Cesta 8,Duga Resa,47250
0228,supermarket,Dugoselska 33A,Sesvetski Kraljevec,10361
3270,hipermarket,Šijanska Cesta 1,Pula,52100
0001,supermarket,Britanski Trg 12,Zagreb,10000
0895,supermarket,1. Svibnja 4,Umag,52470
0277,hipermarket,Zagrebačka Av. 108,Zagreb,10000
0202,hipermarket,Grada Wirgesa 2C,Samobor,10430
0010,supermarket,Aleja Javora 2A,Zagreb,10000
0207,hipermarket,Dubrava 241,Zagreb,10000
3290,hipermarket,Antuna Gustava Matoša 10,Solin,21210
0158,hipermarket,Kralja Držislava 22,Split,21000
1260,hipermarket,Rudeška Cesta 169A,Zagreb,10000
3280,hipermarket,Ulica Bleiburških Žrtava 17,Zadar,23000
0501,supermarket,Braće Brozičević 3,Crikvenica,51260
0203,hipermarket,Ilica 288,Zagreb,10000
1241,supermarket,Cenkovečka 2,Zagreb,10000
3271,hipermarket,Osječka 71,Rijeka,51000
1210,hipermarket,Sisačka Cesta 2,Zagreb,10020
3298,hipermarket,Ulica 3.Gardijske Brigade Kune 2,Osijek,31000
0214,supermarket,Avenija Dubrovnik 16,Zagreb,10000
0737,hipermarket,Petrinjska 11 A,Sisak,44000
0195,supermarket,Andrije Lustiga Dade 19,Garešnica,43280
0301,supermarket,Antuna Mihanovića 3,Vinkovci,32100
0216,hipermarket,Huzjanova 2,Zagreb,10090
3200,hipermarket,Radnička Cesta 49,Zagreb,10000
3291,hipermarket,Put Kozjaka 2,Kaštel Sućurac,21212
1300,hipermarket,Trg Hrvatskih Redarstvenika 1,Karlovac,47000
3272,supermarket,Braće Božić 4C,Rovinj,52210
1621,supermarket,Ante Starčevića 3,Zadar,23000
3274,supermarket,Carlotta Grisi 5 Sveti Anton,Novigrad,52466
0201,hipermarket,Bjelovarska 48B,Sesvete,10360
3205,supermarket,Centar Kaptol Nova Ves 17,Zagreb,10000
0220,hipermarket,Dankovečka 95,Zagreb,10040
3295,hipermarket,Zaprešićka 2,Jablanovec,10290
0205,hipermarket,Sarajevska 6,Zagreb,10000
0200,hipermarket,Industrijska Ulica 1A,Zaprešić,10290
1820,supermarket,Augusta Šenoe 3,Donji Miholjac,31540
0756,supermarket,Alojzija Stepinca 1,Trogir,21220
0208,hipermarket,Marina Getaldića 1,Velika Gorica,10410
3255,supermarket,Bartolovečka Ulica 74,Trnovec Bartolovečki,42202
