store_id,product_id,price,unit_price,best_price_30,anchor_price,special_price
S23,233951,38.14,29.34,38.14,38.14,
S23,233952,8.76,43.80,8.76,8.76,
S23,233953,22.49,17.30,22.49,22.49,
S23,233963,7.30,36.50,7.30,7.30,
S23,233965,29.99,24.99,29.99,29.99,
S23,235254,24.99,19.22,24.99,24.99,
S23,236709,16.24,27.07,16.24,16.24,
S23,241141,3.99,26.60,3.99,3.99,
S23,241198,5.74,38.27,5.74,5.74,
S23,241958,79.64,23.42,79.64,79.64,
S23,241959,43.14,13.48,43.14,43.14,
S23,250662,24.99,37.86,24.99,24.99,
S23,254152,12.49,39.03,12.49,12.49,
S23,254153,9.99,31.22,9.99,9.99,
S23,256817,36.24,10.35,36.24,36.24,
S23,259638,13.99,11.66,13.99,13.99,
S23,263234,12.49,24.98,12.49,12.49,
S23,263235,11.24,22.48,11.24,11.24,
S23,263236,14.99,29.98,14.99,14.99,
S23,263237,11.24,22.48,11.24,11.24,
S23,263238,15.99,19.04,15.99,15.99,
S23,263239,21.24,25.29,21.24,21.24,
S23,263240,18.74,22.31,18.74,18.74,
S23,263241,14.99,17.85,14.99,14.99,
S23,263242,3.74,31.17,3.74,3.74,
S23,263243,3.74,31.17,3.74,3.74,
S23,263244,3.74,24.93,3.74,3.74,
S23,263245,3.99,33.25,3.99,3.99,
S23,263246,3.74,24.93,3.74,3.74,
S23,263248,3.99,26.60,3.99,3.99,
S23,263249,3.74,31.17,3.74,3.74,
S23,263250,3.74,31.17,3.74,3.74,
S23,263251,3.74,31.17,3.74,3.74,
S23,263252,6.24,39.00,6.24,6.24,
S23,263253,5.61,35.06,5.61,5.61,
S23,263254,5.61,35.06,5.61,5.61,
S23,263255,5.61,35.06,5.61,5.61,
S23,263256,3.74,31.17,3.74,3.74,
S23,263257,3.74,31.17,3.74,3.74,
S23,265654,124.99,124.99,124.99,124.99,
S23,265655,87.49,87.49,87.49,87.49,
S23,266472,14.99,16.66,14.99,14.99,
S23,266471,14.99,29.98,14.99,14.99,
