store_id,product_id,price,unit_price,best_price_30,anchor_price,special_price
31038,062153,8.59,34.36,,8.59,
31038,100371,10.29,25.73,,10.29,
31038,208524,4.99,19.96,,5.99,4.99
31038,073445,0.49,6.13,,0.99,0.49
31038,073437,0.49,6.13,,0.99,0.49
31038,073444,0.49,6.13,,0.99,0.49
31038,099134,8.19,27.30,,8.19,
31038,070981,7.19,23.97,,7.19,
31038,062844,3.59,35.90,,3.59,
31038,032067,7.39,18.48,,7.49,
31038,037059,8.29,20.73,,8.29,
31038,088346,10.29,25.73,,10.29,
31038,055962,5.79,5.79,,5.99,
31038,256802,10.99,10.99,,11.99,
31038,093435,1.50,7.50,,1.50,
31038,256800,8.99,44.95,,9.19,
31038,208519,4.29,17.16,,8.59,
31038,208520,10.69,26.73,,10.69,
31038,072531,5.19,5.19,,5.79,
31038,041947,5.99,39.93,,5.99,
31038,041946,5.99,39.93,,5.99,
31038,156104,6.19,123.80,,6.19,
31038,152200,6.19,123.80,,6.19,
31038,164018,4.79,31.93,,5.99,
31038,160629,4.79,31.93,,5.99,
31038,151096,6.59,65.90,,13.29,
31038,164569,4.63,23.15,,5.79,4.63
31038,164370,6.95,34.75,,8.69,6.95
31038,093607,5.99,5.99,,5.99,
31038,068652,2.89,28.90,,2.69,
31038,036758,2.12,10.60,,2.12,
31038,103496,8.76,8.76,,8.76,
31038,251294,3.79,3.79,,3.49,
31038,023711,2.69,10.76,,2.69,
31038,098404,5.31,5.31,,5.31,
31038,098398,5.31,5.31,,5.31,
31038,098663,5.31,5.31,,5.31,
31038,103396,5.31,5.31,,5.31,
31038,103400,5.31,5.31,,5.31,
31038,103401,5.31,5.31,,5.31,
31038,103402,5.31,5.31,,5.31,
31038,098378,5.31,5.31,,5.31,
31038,103406,5.31,5.31,,5.31,
31038,098382,5.31,5.31,,5.31,
31038,098389,5.31,5.31,,5.31,
31038,103412,5.31,5.31,,5.31,
31038,098400,5.29,5.29,,5.29,
31038,098402,5.29,5.29,,5.29,
