product_id,barcode,name,brand,category,unit,quantity
4519370,5900951303210,WHISKAS PURE DELIGHT PERAD 4X85G,,Proizvodi za kućanstvo,KG ,340.000 GR 
4519485,8445290492722,NESCAFE GOLD CLASSIC 95 G (6),,Hrana,KG ,95.000 GR 
4519639,3856014106026,"KARAT CHOCO WAFERS 200G,KOESTLIN","KOESTLIN, BJELOVAR",Hrana,KG ,200.000 GR 
4519647,3856014106057,"MIGNON CHOCO WAFERS 200G,KOESTLIN","KOESTLIN, BJELOVAR",Hrana,KG ,200.000 GR 
4519655,3856014106088,"RUM CHOCO WAFERS 200G,KOESTLIN","KOESTLIN, BJELOVAR",Hrana,KG ,200.000 GR 
4520556,5900951302589,WHISKAS PURE DELIGHT PILETINA 85G,,Proizvodi za kućanstvo,KG ,85.000 GR 
4520696,5900951301988,WHISKAS VR.PERAD JUNIOR 85G,,Proizvodi za kućanstvo,KG ,85.000 GR 
4522060,3850102006830,DOMAĆICA KEKS MULTIGRAIN 275G (16),,Hrana,KG ,275.000 GR 
4522079,3850102005918,KI-KI PUNIOZA JAGODA 90G (25) (PAL-48),,Hrana,KG ,90.000 GR 
4522435,3850108037838,Z BREGOV VOĆNI JOGURT JAGODA 150G,,Hrana,KG ,150.000 GR 
4522451,3850108037760,Z BREGOV VOĆNI JOGURT MIX 150G,,Hrana,KG ,150.000 GR 
4523229,8006540923023,LENOR SPRING AWAKE 2X49 PR./2X1230ML,PROCTER & GAMBLE,Sredstva za čišćenje,L  ,2460.000 ML 
4524152,3856020261634,PILEĆA ABECEDA JUHA 60G (15) (145 PAL),,Hrana,KG ,60.000 GR 
4524748,3856020262587,EVA SARDINA S POVRĆEM 100G (30) (PAL 690),,Hrana,KG ,100.000 GR 
4524780,3856020262525,"EVA SARDINA U BILJNOM ULJU 100G (30) (PAL 690),",,Hrana,KG ,100.000 GR 
4525493,3850108037609,EUFORIJA VANILIJA JOGURT MIX 150G,,Hrana,KG ,150.000 GR 
4525647,3856020258511,DOLCELA VANILIN ŠEĆER 8G (44) PODRAVKA,,Hrana,KG ,8.000 GR 
4525663,3856020258726,DOLCELA VANILIN ŠEĆER 8G 5+1 GRATIS (36),,Hrana,KG ,48.000 GR 
4525680,3838700368468,ŽITO DVOPEK KLASIK 330G (6) PODRAVKA,,Hrana,KG ,330.000 GR 
4526155,3850116058467,LEDO MEDO&MALIČANSTVENI 2023 90ML,,Hrana,L  ,90.000 ML 
4526163,3850116056777,PLAZMA CREAM KORNET 120ML,,Hrana,L  ,120.000 ML 
4526244,8606018616220,KORNET BALL TOP 100ML MILKA,,Hrana,L  ,100.000 ML 
4526317,3830003460832,SLADOLED LOPTICA 140ML,,Hrana,L  ,140.000 ML 
4526384,8436575298733,ŠTAPIĆ OREO 90ML,,Hrana,L  ,90.000 ML 
4526406,3857500084323,POKLOPAC FI 100 ZLATNI 10/1,,Proizvodi za kućanstvo,KOM,1 KOM
4526520,4009900540544,ORBIT REFRESH.TROPICAL 67G,,Hrana,KG ,67.000 GR 
4527011,3858891565293,MOMENTO CAPP.CLASSIC 200G (30),,Hrana,KG ,200.000 GR 
4527143,3838471049474,BARCAFE BC CLASSIC 200G,,Hrana,KG ,200.000 GR 
4527437,3856020265366,LINO LADA GOLD CREAMY 350G (12) PODRAVKA,,Hrana,KG ,350.000 GR 
4527518,3856020264352,BBQ UMAK SPICY HOT 345G (6) PODRAVKA,,Hrana,KG ,345.000 GR 
4527550,3856020262815,ČOKOLINO DARK 350G VR. (8) PODRAVKA,,Hrana,KG ,350.000 GR 
4527585,3856020260460,LINO TUNA PAŠTETA CREAM 95G (22) PODRAVKA,,Hrana,KG ,95.000 GR 
4527593,3856020265106,LINO LADA MILK 160G SA ŽLIČICOM (12) PODRAVKA,,Hrana,KG ,160.000 GR 
4528034,3831029519252,"NATURETA KONCENTRAT RAJČICA 200G TUBA, ORBICO",,Hrana,KG ,200.000 GR 
4528794,8006540901823,LENOR GOLD ORHID 700ML /28 PRANJA,,Sredstva za čišćenje,L  ,700.000 ML 
4528824,8006540890066,LENOR SPRING AWAKENING 850ML /34 PRANJA,,Sredstva za čišćenje,L  ,850.000 ML 
4528832,8006540890011,LENOR SUMMER BREEZE 850ML /34 PRANJA,,Sredstva za čišćenje,L  ,850.000 ML 
4528840,8006540890080,LENOR SENSITIVE 850ML/34 PRANJA,,Sredstva za čišćenje,L  ,850.000 ML 
4528859,8006540901687,LENOR ORCHID 1200ML/48 PRANJA,,Sredstva za čišćenje,L  ,1200.000 ML 
